Contract,Iteration,Critical+High
DecentralizedTicketingPlatform,0,0
DecentralizedTicketingPlatform,1,0
RateLimitedTokenVault,0,0
RateLimitedTokenVault,1,0
DualStaking,0,0
DualStaking,1,0
.sol,0,0
.sol,1,0
DualStaking,0,0
DualStaking,2,0
.sol,0,0
.sol,2,0
Counter,0,0
Counter,1,0
DualStaking,0,0
DualStaking,3,0
EtherVault,0,0
EtherVault,1,0
ElectionSystem,0,0
ElectionSystem,1,0
TokenStaking,0,0
TokenStaking,1,0
SimpleToken,0,0
SimpleToken,1,0
TaxToken,0,0
TaxToken,1,0
RentalNFTSystem,0,0
RentalNFTSystem,1,0
RentalNFTSystem,0,0
RentalNFTSystem,2,0
RentalNFTSystem,0,0
Lottery,0,1
Lottery,1,4
Lottery,2,2
Lottery,3,0
demonstrates,0,1
demonstrates,1,9
demonstrates,2,0
demonstrates,3,0
bad_style,0,0
bad_style,1,0
bad_style,2,0
GasDoS,0,2
GasDoS,1,3
GasDoS,2,0
GasDoS,3,0
InefficientLoop,0,0
InefficientLoop,1,0
InefficientLoop,2,0
MissingEvents,0,0
MissingEvents,1,0
NoAccessControl,0,0
NoAccessControl,1,0
Overflow,0,0
Overflow,1,1
Overflow,2,0
Overflow,3,0
demonstrates,0,3
demonstrates,1,1
demonstrates,2,0
demonstrates,4,0
demonstrates,0,1
demonstrates,1,1
demonstrates,2,0
demonstrates,5,0
UninitializedStorage,0,0
UninitializedStorage,1,0
demonstrates,0,2
demonstrates,1,0
demonstrates,6,0
UnusedVariables,0,0
UnusedVariables,1,0
UnusedVariables,2,0
